pokemonKey,pokemonName,moveName,naturalSource,level,versionGroup,learnMethod,formerLearnMethod,naturalizedRareTm
abomasnow,Abomasnow,Ice Punch,level-up,1,,,,no
abomasnow,Abomasnow,Powder Snow,level-up,1,,,,no
abomasnow,Abomasnow,Leer,level-up,1,,,,no
abomasnow,Abomasnow,Razor Leaf,level-up,1,,,,no
abomasnow,Abomasnow,Icy Wind,level-up,1,,,,no
abomasnow,Abomasnow,Grass Whistle,level-up,13,,,,no
abomasnow,Abomasnow,Swagger,level-up,17,,,,no
abomasnow,Abomasnow,Mist,level-up,21,,,,no
abomasnow,Abomasnow,Ice Shard,level-up,26,,,,no
abomasnow,Abomasnow,Ingrain,level-up,31,,,,no
abomasnow,Abomasnow,Wood Hammer,level-up,36,,,,no
abomasnow,Abomasnow,Blizzard,level-up,47,,,,no
abomasnow,Abomasnow,Sheer Cold,level-up,58,,,,no
abomasnow,Abomasnow,Aurora Veil,level-up,1,,,,no
abomasnow,Abomasnow,Leafage,level-up,1,,,,no
abra,Abra,Teleport,level-up,1,,,,no
abra,Abra,Confusion,naturalized-rare-tm,,brilliant-diamond-shining-pearl,egg,egg,yes
abra,Abra,Power Trick,naturalized-rare-tm,,brilliant-diamond-shining-pearl,egg,egg,yes
abra,Abra,Guard Split,naturalized-rare-tm,,brilliant-diamond-shining-pearl,egg,egg,yes
absol,Absol,Scratch,level-up,1,,,,no
absol,Absol,Leer,level-up,5,,,,no
absol,Absol,Taunt,level-up,9,,,,no
absol,Absol,Quick Attack,level-up,13,,,,no
absol,Absol,Razor Wind,level-up,17,,,,no
absol,Absol,Bite,level-up,21,,,,no
absol,Absol,Swords Dance,level-up,26,,,,no
absol,Absol,Double Team,level-up,31,,,,no
absol,Absol,Slash,level-up,36,,,,no
absol,Absol,Future Sight,level-up,41,,,,no
absol,Absol,Perish Song,level-up,46,,,,no
absol,Absol,Pursuit,level-up,20,,,,no
absol,Absol,Sucker Punch,level-up,44,,,,no
absol,Absol,Detect,level-up,49,,,,no
absol,Absol,Night Slash,level-up,52,,,,no
absol,Absol,Me First,level-up,57,,,,no
absol,Absol,Psycho Cut,level-up,60,,,,no
absol,Absol,Feint,level-up,1,,,,no
absol,Absol,Knock Off,level-up,10,,,,no
absol,Absol,Focus Energy,level-up,35,,,,no
accelgor,Accelgor,Leech Life,level-up,1,,,,no
accelgor,Accelgor,Acid Spray,level-up,1,,,,no
accelgor,Accelgor,Double Team,level-up,1,,,,no
accelgor,Accelgor,Quick Attack,level-up,1,,,,no
accelgor,Accelgor,Struggle Bug,level-up,16,,,,no
accelgor,Accelgor,Mega Drain,level-up,20,,,,no
accelgor,Accelgor,Swift,level-up,25,,,,no
accelgor,Accelgor,Me First,level-up,28,,,,no
accelgor,Accelgor,Agility,level-up,32,,,,no
accelgor,Accelgor,Giga Drain,level-up,37,,,,no
accelgor,Accelgor,U-turn,level-up,40,,,,no
accelgor,Accelgor,Bug Buzz,level-up,44,,,,no
accelgor,Accelgor,Recover,level-up,49,,,,no
accelgor,Accelgor,Power Swap,level-up,52,,,,no
accelgor,Accelgor,Final Gambit,level-up,56,,,,no
accelgor,Accelgor,Water Shuriken,level-up,1,,,,no
accelgor,Accelgor,Absorb,level-up,1,,,,no
accelgor,Accelgor,Acid,level-up,1,,,,no
accelgor,Accelgor,Curse,level-up,1,,,,no
accelgor,Accelgor,Yawn,level-up,1,,,,no
accelgor,Accelgor,Acid Armor,level-up,1,,,,no
accelgor,Accelgor,Guard Swap,level-up,1,,,,no
accelgor,Accelgor,Body Slam,level-up,1,,,,no
accelgor,Accelgor,Toxic,level-up,52,,,,no
accelgor,Accelgor,Protect,level-up,1,,,,no
accelgor,Accelgor,Bide,level-up,8,,,,no
accelgor,Accelgor,Guard Split,naturalized-rare-tm,,showdown-gen-8,egg,egg,yes
aegislash-shield,Aegislash,Fury Cutter,level-up,1,,,,no
aegislash-shield,Aegislash,Pursuit,level-up,1,,,,no
aegislash-shield,Aegislash,Autotomize,level-up,1,,,,no
aegislash-shield,Aegislash,Shadow Sneak,level-up,1,,,,no
aegislash-shield,Aegislash,Slash,level-up,1,,,,no
aegislash-shield,Aegislash,Iron Defense,level-up,1,,,,no
aegislash-shield,Aegislash,Night Slash,level-up,1,,,,no
aegislash-shield,Aegislash,Power Trick,level-up,1,,,,no
aegislash-shield,Aegislash,Iron Head,level-up,1,,,,no
aegislash-shield,Aegislash,Head Smash,level-up,1,,,,no
aegislash-shield,Aegislash,Swords Dance,level-up,1,,,,no
aegislash-shield,Aegislash,Aerial Ace,level-up,1,,,,no
aegislash-shield,Aegislash,King’s Shield,level-up,1,,,,no
aegislash-shield,Aegislash,Sacred Sword,level-up,1,,,,no
aegislash-shield,Aegislash,Metal Sound,level-up,1,,,,no
aegislash-shield,Aegislash,Retaliate,level-up,1,,,,no
aegislash-shield,Aegislash,Tackle,level-up,1,,,,no
aerodactyl,Aerodactyl,Wing Attack,level-up,1,,,,no
aerodactyl,Aerodactyl,Agility,level-up,1,,,,no
aerodactyl,Aerodactyl,Supersonic,level-up,33,,,,no
aerodactyl,Aerodactyl,Bite,level-up,38,,,,no
aerodactyl,Aerodactyl,Take Down,level-up,45,,,,no
aerodactyl,Aerodactyl,Hyper Beam,level-up,54,,,,no
aerodactyl,Aerodactyl,Ancient Power,level-up,29,,,,no
aerodactyl,Aerodactyl,Scary Face,level-up,36,,,,no
aerodactyl,Aerodactyl,Ice Fang,level-up,1,,,,no
aerodactyl,Aerodactyl,Fire Fang,level-up,1,,,,no
aerodactyl,Aerodactyl,Thunder Fang,level-up,1,,,,no
aerodactyl,Aerodactyl,Roar,level-up,9,,,,no
aerodactyl,Aerodactyl,Crunch,level-up,33,,,,no
aerodactyl,Aerodactyl,Iron Head,level-up,49,,,,no
aerodactyl,Aerodactyl,Rock Slide,level-up,65,,,,no
aerodactyl,Aerodactyl,Giga Impact,level-up,73,,,,no
aerodactyl,Aerodactyl,Sky Drop,level-up,49,,,,no
aerodactyl,Aerodactyl,Stone Edge,level-up,45,,,,no
aggron,Aggron,Tackle,level-up,1,,,,no
aggron,Aggron,Harden,level-up,1,,,,no
aggron,Aggron,Mud-Slap,level-up,1,,,,no
aggron,Aggron,Headbutt,level-up,1,,,,no
aggron,Aggron,Metal Claw,level-up,13,,,,no
aggron,Aggron,Iron Defense,level-up,17,,,,no
aggron,Aggron,Roar,level-up,21,,,,no
aggron,Aggron,Take Down,level-up,25,,,,no
aggron,Aggron,Iron Tail,level-up,29,,,,no
aggron,Aggron,Protect,level-up,37,,,,no
aggron,Aggron,Metal Sound,level-up,50,,,,no
aggron,Aggron,Double-Edge,level-up,63,,,,no
aggron,Aggron,Iron Head,level-up,29,,,,no
aggron,Aggron,Metal Burst,level-up,65,,,,no
aggron,Aggron,Autotomize,level-up,57,,,,no
aggron,Aggron,Heavy Slam,level-up,65,,,,no
aggron,Aggron,Rock Tomb,level-up,13,,,,no
aggron,Aggron,Rock Slide,level-up,25,,,,no
aipom,Aipom,Scratch,level-up,1,,,,no
aipom,Aipom,Tail Whip,level-up,1,,,,no
aipom,Aipom,Sand Attack,level-up,6,,,,no
aipom,Aipom,Baton Pass,level-up,12,,,,no
aipom,Aipom,Fury Swipes,level-up,19,,,,no
aipom,Aipom,Swift,level-up,27,,,,no
aipom,Aipom,Screech,level-up,36,,,,no
aipom,Aipom,Agility,level-up,46,,,,no
aipom,Aipom,Astonish,level-up,13,,,,no
aipom,Aipom,Tickle,level-up,25,,,,no
aipom,Aipom,Double Hit,level-up,32,,,,no
aipom,Aipom,Fling,level-up,36,,,,no
aipom,Aipom,Nasty Plot,level-up,39,,,,no
aipom,Aipom,Last Resort,level-up,43,,,,no
aipom,Aipom,Double Slap,naturalized-rare-tm,,ultra-sun-ultra-moon,egg,egg,yes
alakazam,Alakazam,Teleport,level-up,1,,,,no
alakazam,Alakazam,Confusion,level-up,1,,,,no
alakazam,Alakazam,Disable,level-up,1,,,,no
