moveName,compatiblePokemonCount,compatibilityGroupCount,formerLearnMethods,pokemonKeys
Acid,7,3,egg,cacnea; cacturne; chandelure; lampent; litwick; chandelure-mega; shuckle
Aqua Cutter,5,2,egg,cramorant; dewott; samurott-hisui; oshawott; samurott
Autotomize,14,4,egg,geodude-alola; golem-alola; graveler-alola; boldore; garbodor; geodude; gigalith; golem; graveler; roggenrola; trubbish; vanillish; vanillite; vanilluxe
Baby-Doll Eyes,5,3,egg; tutor,alcremie; furret; lilligant-hisui; milcery; sentret
Barb Barrage,1,1,egg,qwilfish
Blue Flare,1,1,event,victini
Bolt Strike,1,1,event,victini
Boomburst,8,4,egg,chatot; finizen; palafin-zero; pikipek; swellow; taillow; toucannon; trumbeak
Bubble,1,1,egg,tentacool
Burn Up,5,2,egg,emboar; growlithe; emboar-mega; pignite; tepig
Circle Throw,14,5,egg,buneary; clobbopus; exploud; grapploct; kangaskhan; lopunny; loudred; lucario; kangaskhan-mega; lopunny-mega; lucario-mega; lucario-mega-z; riolu; whismur
Coil,1,1,egg,orthworm
Comet Punch,3,1,egg,conkeldurr; gurdurr; timburr
Comeuppance,2,1,egg,zoroark-hisui; zorua-hisui
Confusion,13,5,egg; virtual-console,abra; blastoise; hoppip; jumpluff; blastoise-mega; nidoking; nidoran-m; nidorino; skiploom; squirtle; tangela; tangrowth; wartortle
Constrict,2,1,egg,frillish-male; jellicent-male
Cotton Guard,6,3,egg; event,banette; bouffalant; hoppip; jumpluff; banette-mega; skiploom
Cotton Spore,3,1,egg,budew; roselia; roserade
Crabhammer,1,1,egg,klawf
Crafty Shield,2,1,egg,chimecho; chimecho-mega
Discharge,5,3,egg,amaura; aurorus; boltund; grubbin; yamper
Dizzy Punch,5,4,egg,kecleon; ledian; ledyba; miltank; volbeat
Double Hit,9,4,egg,buneary; deino; empoleon; sneasel-hisui; piplup; prinplup; sneasel; sneasler; weavile
Double Slap,10,3,egg; virtual-console,aipom; raichu-alola; ambipom; buizel; floatzel; raichu-mega-x; raichu-mega-y; pichu; pikachu; raichu
Drill Peck,4,2,egg,honchkrow; murkrow; natu; xatu
Egg Bomb,2,2,machine,exeggcute; mew
Eruption,2,1,event,heatran; heatran-mega
Extreme Speed,11,5,egg; event; zygarde-cube,raichu-alola; dragonair; dratini; genesect; linoone; raichu-mega-x; raichu-mega-y; pikachu; raichu; zigzagoon; zygarde-10
Fairy Wind,2,1,egg,frosmoth; snom
Fell Stinger,9,4,egg,cacnea; cacturne; drizzile; inteleon; masquerain; paras; parasect; sobble; surskit
First Impression,10,5,egg,axew; durant; farfetchd; flygon; fraxure; haxorus; spidops; tarountula; trapinch; vibrava
Flame Burst,10,4,egg,cyndaquil; electrike; typhlosion-hisui; manectric; manectric-mega; quilava; skuntank; stunky; torkoal; typhlosion
Flame Wheel,6,2,egg; virtual-console,darmanitan-standard; darumaka; darmanitan-galar-standard; darumaka-galar; raticate; rattata
Flower Shield,1,1,egg,cherubi
Force Palm,5,2,egg,bewear; conkeldurr; gurdurr; stufful; timburr
Freeze-Dry,11,5,egg,arctibax; baxcalibur; delibird; frigibax; darmanitan-galar-standard; darumaka-galar; lapras; mamoswine; baxcalibur-mega; piloswine; swinub
Fury Attack,6,2,egg,pinsir-mega; staraptor-mega; pinsir; staraptor; staravia; starly
Fury Swipes,11,5,egg; event; virtual-console,rattata-alola; bibarel; bidoof; buizel; cyndaquil; floatzel; typhlosion-hisui; quilava; rattata; smeargle; typhlosion
Fusion Bolt,1,1,event,victini
Fusion Flare,1,1,event,victini
Glaciate,1,1,event,victini
Glare,6,3,egg,druddigon; heliolisk; helioptile; serperior; servine; snivy
Growl,3,1,egg; virtual-console,hoppip; jumpluff; skiploom
Guard Split,12,5,egg,abra; accelgor; alakazam; bastiodon; kadabra; alakazam-mega; rhydon; rhyhorn; rhyperior; shelmet; shieldon; spinda
Heal Block,2,1,egg,cofagrigus; yamask
Heart Stamp,7,3,egg; event,raichu-alola; jirachi; raichu-mega-x; raichu-mega-y; miltank; pikachu; raichu
High Jump Kick,10,3,egg,cinderace; hitmonchan; hitmontop; lucario; lucario-mega; lucario-mega-z; raboot; riolu; scorbunny; tyrogue
Horn Attack,2,1,egg,escavalier; karrablast
Ice Ball,12,5,egg; tutor,delibird; electrode-hisui; qwilfish-hisui; voltorb-hisui; marshtomp; swampert-mega; mudkip; politoed; poliwag; poliwhirl; poliwrath; swampert
Ice Hammer,3,1,egg,tinkatink; tinkaton; tinkatuff
Ice Shard,11,5,egg,sandshrew-alola; sandslash-alola; delibird; donphan; drizzile; inteleon; phanpy; sobble; vanillish; vanillite; vanilluxe
Inferno,4,2,dream-world; egg,magcargo; misdreavus; mismagius; slugma
Ion Deluge,2,2,egg,emolga; pachirisu
Karate Chop,6,2,egg; virtual-console,electabuzz; electivire; elekid; magby; magmar; magmortar
Last Respects,3,1,egg,basculegion-male; basculegion-female; basculin-white-striped
Leaf Blade,4,4,egg; machine,celebi; lilligant; mew; tropius
Leaf Tornado,1,1,egg,comfey
Leer,5,3,egg; virtual-console,granbull; rhyperior; skuntank; snubbull; stunky
Lick,7,3,egg; virtual-console,dewgong; grimer; herdier; lillipup; muk; seel; stoutland
Life Dew,17,5,egg,blastoise; brionne; budew; cloyster; goodra; goomy; goodra-hisui; sliggoo-hisui; blastoise-mega; popplio; primarina; roselia; roserade; shellder; sliggoo; squirtle; wartortle
Lock-On,4,2,egg,boldore; gigalith; klefki; roggenrola
Lovely Kiss,1,1,egg,smoochum
Mach Punch,12,4,egg,conkeldurr; gurdurr; hitmonlee; hitmontop; magby; magmar; magmortar; pawmi; pawmo; pawmot; timburr; tyrogue
Meditate,13,5,egg; virtual-console,annihilape; croagunk; electabuzz; electivire; elekid; jynx; machamp; machoke; machop; mankey; primeape; smoochum; toxicroak
Metal Burst,9,5,egg,durant; mawile; mawile-mega; sableye-mega; orthworm; rhydon; rhyhorn; rhyperior; sableye
Meteor Mash,2,2,egg; event,deoxys-normal; riolu
Miracle Eye,5,2,egg,gothita; gothitelle; gothorita; jynx; smoochum
Moonblast,5,3,egg; event,ninetales-alola; vulpix-alola; cutiefly; jirachi; ribombee
Moongeist Beam,1,1,restricted,necrozma-dawn
Moonlight,5,2,egg,exeggutor-alola; exeggcute; exeggutor; sableye-mega; sableye
Nuzzle,3,1,egg,hatenna; hatterene; hattrem
Octazooka,6,3,egg; event,horsea; kingdra; sableye-mega; remoraid; sableye; seadra
Parabolic Charge,2,1,egg,bellibolt; tadbulb
